NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
345	1146.394	23.124	184.354	25.671	0.052	0.903	20000.0
346	1168.37	24.16	185.693	26.277	0.056	0.9	20000.0
347	1158.491	23.495	184.867	25.907	0.053	0.899	40000.0
348	1181.324	23.768	187.682	26.039	0.053	0.902	20000.0
349	1165.655	23.636	189.828	26.256	0.054	0.898	20000.0
350	1166.356	23.756	184.809	25.899	0.055	0.901	20000.0
351	1183.391	24.278	189.417	26.644	0.058	0.896	20000.0
352	1199.931	24.152	187.985	26.492	0.055	0.895	30000.0
353	1166.557	23.717	185.575	26.144	0.055	0.899	20000.0
354	1165.987	24.03	186.632	26.376	0.056	0.897	20000.0
355	1179.239	23.968	189.04	26.321	0.055	0.899	30000.0
356	1157.392	23.493	182.822	25.909	0.052	0.9	30000.0
357	1189.328	23.965	191.189	26.687	0.055	0.895	20000.0
358	1178.061	23.871	186.808	26.062	0.054	0.902	40000.0
359	1154.091	23.739	181.761	25.976	0.055	0.899	20000.0
360	1174.093	23.826	187.404	26.059	0.054	0.901	60000.0
361	1186.962	23.944	190.81	26.63	0.055	0.897	20000.0
362	1180.616	23.955	185.78	26.045	0.054	0.899	20000.0
363	1176.705	23.706	188.295	26.12	0.053	0.901	30000.0
364	1171.118	23.947	187.842	26.415	0.056	0.9	20000.0
365	1148.223	23.648	187.307	26.496	0.053	0.895	30000.0
366	1163.95	23.959	187.421	26.496	0.057	0.897	30000.0
367	1162.929	23.658	188.502	26.374	0.054	0.898	20000.0
368	1185.895	24.058	193.99	26.93	0.055	0.894	20000.0
369	1175.758	23.695	191.848	26.54	0.054	0.897	20000.0
370	1179.678	23.926	190.561	26.825	0.055	0.895	30000.0
371	1173.378	23.767	191.285	26.531	0.053	0.896	20000.0
372	1196.676	24.192	192.279	26.534	0.056	0.9	20000.0
373	1181.812	24.13	187.638	26.454	0.055	0.897	20000.0
374	1163.969	23.535	185.764	26.133	0.055	0.899	20000.0
375	1165.903	23.547	187.128	26.265	0.053	0.897	30000.0
376	1184.764	23.919	188.385	26.21	0.054	0.9	20000.0
377	1172.593	23.899	186.623	26.083	0.054	0.9	30000.0
378	1169.925	23.652	185.016	25.901	0.054	0.901	30000.0
379	1169.794	23.855	185.802	26.266	0.055	0.899	20000.0
380	1163.045	23.691	185.13	26.038	0.055	0.899	40000.0
381	1194.802	24.137	191.708	26.611	0.055	0.897	20000.0
382	1179.824	24.295	188.089	26.329	0.057	0.898	30000.0
383	1160.08	23.565	186.363	25.795	0.053	0.904	40000.0
384	1154.964	23.522	186.28	26.281	0.054	0.898	30000.0
385	1141.56	23.265	183.476	25.77	0.053	0.903	30000.0
386	1179.705	24.014	186.53	26.184	0.055	0.899	20000.0
387	1176.801	24.021	189.166	26.53	0.056	0.898	20000.0
388	1167.85	23.503	189.774	26.107	0.053	0.902	30000.0
389	1170.453	23.739	188.013	26.316	0.054	0.899	20000.0
390	1181.822	23.876	187.98	26.015	0.055	0.901	60000.0
391	1150.32	23.548	184.556	25.919	0.053	0.902	30000.0
392	1186.479	23.967	194.339	26.745	0.056	0.897	20000.0
393	1198.345	24.328	192.057	26.736	0.056	0.896	40000.0
394	1147.741	23.489	184.33	25.851	0.054	0.902	20000.0
395	1166.738	23.846	184.245	26.117	0.054	0.898	60000.0
396	1178.545	24.253	190.224	26.815	0.057	0.894	20000.0
397	1158.295	23.646	187.599	26.28	0.054	0.899	70000.0
398	1171.672	23.664	187.066	25.917	0.054	0.9	20000.0
399	1181.312	24.003	188.689	26.478	0.056	0.898	20000.0
400	1173.261	23.784	186.285	25.978	0.054	0.902	30000.0
401	1166.69	23.827	185.408	25.953	0.054	0.9	30000.0
402	1158.284	23.663	184.3	25.952	0.054	0.901	20000.0
403	1168.972	23.963	185.188	26.352	0.055	0.898	20000.0
404	1184.778	23.792	188.746	26.163	0.054	0.902	40000.0
405	1168.967	23.831	188.768	26.42	0.055	0.898	30000.0
406	1148.141	23.095	182.597	25.454	0.051	0.905	20000.0
407	1173.374	23.802	188.225	26.355	0.053	0.897	20000.0
408	1169.74	23.702	185.893	26.267	0.053	0.9	30000.0
409	1168.875	23.705	188.935	26.269	0.053	0.897	20000.0
410	1200.977	24.234	193.011	26.721	0.055	0.896	20000.0
411	1181.612	24.115	185.28	26.226	0.056	0.898	40000.0
412	1177.534	24.277	187.027	26.756	0.056	0.894	40000.0
413	1186.045	24.075	188.419	26.311	0.054	0.899	20000.0
414	1163.067	23.773	185.998	26.197	0.054	0.899	20000.0
415	1190.085	23.763	191.013	26.324	0.053	0.899	30000.0
416	1178.188	23.772	186.406	26.005	0.054	0.902	20000.0
417	1175.213	23.629	191.421	26.378	0.053	0.899	50000.0
418	1189.56	23.956	190.985	26.508	0.054	0.898	40000.0
419	1152.885	23.439	179.67	25.455	0.053	0.903	20000.0
420	1156.346	23.496	186.483	26.054	0.053	0.901	20000.0
421	1145.575	23.299	183.67	26.019	0.053	0.899	40000.0
422	1174.946	24.188	187.627	26.315	0.056	0.9	20000.0
423	1143.473	23.196	179.531	25.397	0.052	0.904	20000.0
424	1167.424	23.667	187.071	26.0	0.056	0.9	20000.0
425	1161.441	23.479	186.391	26.028	0.053	0.902	50000.0
426	1169.827	23.802	187.605	26.277	0.055	0.899	30000.0
427	1159.175	23.455	183.43	25.644	0.052	0.903	20000.0
428	1151.553	23.624	186.879	26.178	0.054	0.899	30000.0
